id	name	phenotype	bigg_id
BG12148	ydfA	non-essential	BSU05340
BG12190	ydhM	non-essential	
BG12191	ydhN	non-essential	
BG12192	ydhO	non-essential	
BG12232	ssuB	non-essential	BSU08830
BG12279	yraO	non-essential	BSU26860
BG12296	yrhG	non-essential	BSU27200
BG12343	mrpG	non-essential	BSU31660
BG12353	maeN	non-essential	BSU31580
BG12369	yugO	non-essential	BSU31322
BG12411	yvdB	non-essential	BSU34660
BG12416	yvdG	non-essential	
BG12417	yvdH	non-essential	
BG12418	yvdI	non-essential	
BG12436	yvfK	non-essential	
BG12437	yvfL	non-essential	
BG12438	yvfM	non-essential	
BG12492	ywoE	non-essential	
BG12520	ywrA	non-essential	BSU36130
BG12521	ywrB	non-essential	BSU36120
BG12527	ywrK	non-essential	BSU36030
BG12546	yxkJ	non-essential	
BG12548	yxlA	non-essential	BSU38710
BG12564	amyC	non-essential	BSU30290
BG12573	braB	non-essential	BSU29600
BG12625	msmE	non-essential	BSU30270
BG12641	opuE	non-essential	BSU06660
BG12750	ybgF	non-essential	BSU02400
BG12752	ybgH	non-essential	
BG12763	ycdH	non-essential	
BG12764	ycdI	non-essential	
BG12765	yceA	non-essential	
BG12795	gutP	non-essential	BSU06160
BG12802	ydjK	non-essential	
BG12811	pbuG	non-essential	BSU06370
BG12849	yesO	non-essential	BSU06970
BG12850	yesP	non-essential	
BG12851	yesQ	non-essential	
BG12876	yfhA	non-essential	BSU08460
BG12901	yfiY	non-essential	BSU08440
BG12902	yfiZ	non-essential	BSU08450
BG12913	yfjQ	non-essential	BSU08000
BG12922	yfkE	non-essential	BSU07920
BG12941	nagP	non-essential	BSU07700
BG12951	yflS	non-essential	BSU07570
BG12954	yfmC	non-essential	BSU07520
BG12955	yfmD	non-essential	BSU07510
BG12956	yfmE	non-essential	BSU07500
BG12957	yfmF	non-essential	BSU07490
BG12983	yhaG	non-essential	
BG12997	yhaU	non-essential	BSU09850
BG13044	nhaC	non-essential	BSU09680
BG13075	glcP	non-essential	BSU10520
BG13100	yisU	non-essential	BSU10870
BG13146	yjbQ	non-essential	BSU11640
BG13176	manP	non-essential	BSU12010
BG13210	exuT	non-essential	BSU12360
BG13226	pit	non-essential	BSU12840
BG13256	ykoK	non-essential	
BG13275	ykrM	non-essential	
BG13325	ykvW	non-essential	
BG13377	cysP	non-essential	BSU15580
BG13384	yloB	non-essential	BSU15650
BG13473	yoaB	non-essential	BSU18540
BG13529	yocS	non-essential	BSU19350
BG13535	yodF	non-essential	BSU19580
BG13554	yojA	non-essential	BSU19520
BG13784	yrbD	non-essential	BSU27810
BG13851	mntA	non-essential	BSU30770
BG13852	mntB	non-essential	BSU30760
BG13853	mntC	non-essential	BSU30750
BG13854	mntD	non-essential	BSU30740
BG13864	ytiP	non-essential	
BG13884	ytmJ	non-essential	
BG13885	ytmK	non-essential	
BG13886	ytmL	non-essential	
BG13887	ytmM	non-essential	
BG13891	ytnA	non-essential	BSU30530
BG13912	ytrB	non-essential	BSU30450
BG13913	ytrC	non-essential	BSU30440
BG13914	ytrD	non-essential	BSU30430
BG13915	ytrE	non-essential	BSU30420
BG13916	ytrF	non-essential	BSU30410
BG13943	yuaA	non-essential	
BG13956	yubG	non-essential	
BG13984	pucJ	non-essential	BSU32430
BG13985	pucK	non-essential	BSU32440
BG14013	yusA	non-essential	
BG14014	yusB	non-essential	
BG14015	yusC	non-essential	
BG14047	yutK	non-essential	BSU32180
BG14093	yvgK	non-essential	BSU33370
BG14094	yvgL	non-essential	BSU33380
BG14095	yvgM	non-essential	BSU33390
BG14098	yvgP	non-essential	
BG14105	yvgW	non-essential	
BG14106	yvgX	non-essential	
BG14107	yvgY	non-essential	
BG14141	yvrA	non-essential	BSU33160
BG14142	yvrB	non-essential	BSU33170
BG14143	yvrC	non-essential	BSU33180
BG14154	yvsH	non-essential	
BG14181	mrpE	non-essential	BSU31640
